Língua,Coleção,Título,Link
PT-BR,Princípios do Evangelho,Capítulo 14: A Organização do Sacerdócio,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-14-priesthood-organization?lang=por
PT-BR,Princípios do Evangelho,Capítulo 15: O Povo do Convênio do Senhor,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-15-the-lords-covenant-people?lang=por
PT-BR,Princípios do Evangelho,Capítulo 16: A Igreja de Jesus Cristo nos Tempos Antigos,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-16-the-church-of-jesus-christ-in-former-times?lang=por
PT-BR,Princípios do Evangelho,Capítulo 17: A Igreja de Jesus Cristo Hoje,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-17-the-church-of-jesus-christ-today?lang=por
PT-BR,Princípios do Evangelho,Capítulo 18: Fé em Jesus Cristo,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-18-faith-in-jesus-christ?lang=por
PT-BR,Princípios do Evangelho,Capítulo 19: Arrependimento,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-19-repentance?lang=por
PT-BR,Princípios do Evangelho,Capítulo 20: Batismo,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-20-baptism?lang=por
PT-BR,Princípios do Evangelho,Capítulo 21: O Dom do Espírito Santo,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-21-the-gift-of-the-holy-ghost?lang=por
PT-BR,Princípios do Evangelho,Capítulo 22: Os Dons do Espírito,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-22-the-gifts-of-the-spirit?lang=por
PT-BR,Princípios do Evangelho,Capítulo 23: O Sacramento,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-23-the-sacrament?lang=por
PT-BR,Princípios do Evangelho,Capítulo 24: O Dia do Senhor,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-24-the-sabbath-day?lang=por
PT-BR,Princípios do Evangelho,Capítulo 25: Jejum,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-25-fasting?lang=por
PT-BR,Princípios do Evangelho,Capítulo 26: Sacrifício,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-26-sacrifice?lang=por
PT-BR,Princípios do Evangelho,Capítulo 27: Trabalho e Responsabilidade Pessoal,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-27-work-and-personal-responsibility?lang=por
PT-BR,Princípios do Evangelho,Capítulo 28: Serviço,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-28-service?lang=por
PT-BR,Princípios do Evangelho,Capítulo 29: A Lei de Saúde do Senhor,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-29-the-lords-law-of-health?lang=por
PT-BR,Princípios do Evangelho,Capítulo 30: Caridade,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-30-charity?lang=por
PT-BR,Princípios do Evangelho,Capítulo 31: Honestidade,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-31-honesty?lang=por
PT-BR,Princípios do Evangelho,Capítulo 32: Dízimos e Ofertas,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-32-tithes-and-offerings?lang=por
PT-BR,Princípios do Evangelho,Capítulo 33: Trabalho Missionário,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-33-missionary-work?lang=por
PT-BR,Princípios do Evangelho,Capítulo 34: Como Desenvolver Nossos Talentos,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-34-developing-our-talents?lang=por
PT-BR,Princípios do Evangelho,Capítulo 35: Obediência,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-35-obedience?lang=por
PT-BR,Princípios do Evangelho,Capítulo 36: A Família Pode Ser Eterna,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-36-the-family-can-be-eternal?lang=por
PT-BR,Princípios do Evangelho,Capítulo 37: Responsabilidades Familiares,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-37-family-responsibilities?lang=por
PT-BR,Princípios do Evangelho,Capítulo 38: Casamento Eterno,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-38-eternal-marriage?lang=por
PT-BR,Princípios do Evangelho,Capítulo 39: A Lei da Castidade,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-39-the-law-of-chastity?lang=por
PT-BR,Princípios do Evangelho,Capítulo 40: O Trabalho do Templo e da História da Família,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-40-temple-work-and-family-history?lang=por
PT-BR,Princípios do Evangelho,Capítulo 41: O Mundo Espiritual Pós-Mortalidade,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-41-the-postmortal-spirit-world?lang=por
PT-BR,Princípios do Evangelho,Capítulo 42: A Coligação da Casa de Israel,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-42-the-gathering-of-the-house-of-israel?lang=por
PT-BR,Princípios do Evangelho,Capítulo 43: Sinais da Segunda Vinda,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-43-signs-of-the-second-coming?lang=por
PT-BR,Princípios do Evangelho,Capítulo 44: A Segunda Vinda de Cristo,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-44-the-second-coming-of-christ?lang=por
PT-BR,Princípios do Evangelho,Capítulo 45: O Milênio,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-45-the-millennium?lang=por
PT-BR,Princípios do Evangelho,Capítulo 46: O Julgamento Final,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-46-the-final-judgment?lang=por
PT-BR,Princípios do Evangelho,Capítulo 47: A Exaltação,https://www.churchofjesuschrist.org/study/manual/gospel-principles/chapter-47-exaltation?lang=por
PT-BR,Conferência Geral Outubro 2025,“Bem-aventurados os pacificadores” Gary E. Stevenson,https://www.churchofjesuschrist.org/study/general-conference/2025/10/12stevenson?lang=por
PT-BR,Conferência Geral Outubro 2025,Sintonizar o coração com Jesus Cristo: O dom sagrado da música da Primária Tracy Y. Browning,https://www.churchofjesuschrist.org/study/general-conference/2025/10/13browning?lang=por
PT-BR,Conferência Geral Outubro 2025,O Senhor olha para o coração Ronald M. Barcellos,https://www.churchofjesuschrist.org/study/general-conference/2025/10/14barcellos?lang=por
PT-BR,Conferência Geral Outubro 2025,Saber quem realmente somos Brik V. Eyre,https://www.churchofjesuschrist.org/study/general-conference/2025/10/15eyre?lang=por
PT-BR,Conferência Geral Outubro 2025,Reconciliar-se com Deus Kelly R. Johnson,https://www.churchofjesuschrist.org/study/general-conference/2025/10/17johnson?lang=por
PT-BR,Conferência Geral Outubro 2025,Façam sua parte de todo o coração Dieter F. Uchtdorf,https://www.churchofjesuschrist.org/study/general-conference/2025/10/16uchtdorf?lang=por
PT-BR,Conferência Geral Outubro 2025,A proclamação sobre a família — Palavras de Deus Ronald A. Rasband,https://www.churchofjesuschrist.org/study/general-conference/2025/10/21rasband?lang=por
PT-BR,Conferência Geral Outubro 2025,Para que todos sejam edificados Chad H Webb,https://www.churchofjesuschrist.org/study/general-conference/2025/10/22webb?lang=por
PT-BR,Conferência Geral Outubro 2025,De joelhos no altar Jeremy R. Jaggi,https://www.churchofjesuschrist.org/study/general-conference/2025/10/23jaggi?lang=por
PT-BR,Conferência Geral Outubro 2025,O eterno dom do testemunho Kevin G. Brown,https://www.churchofjesuschrist.org/study/general-conference/2025/10/24brown?lang=por
PT-BR,Conferência Geral Outubro 2025,Ninguém se senta sozinho Gerrit W. Gong,https://www.churchofjesuschrist.org/study/general-conference/2025/10/25gong?lang=por
PT-BR,Conferência Geral Outubro 2025,Simplicidade em Cristo Michael Cziesla,https://www.churchofjesuschrist.org/study/general-conference/2025/10/26cziesla?lang=por
PT-BR,Conferência Geral Outubro 2025,O Senhor está acelerando Sua obra Quentin L. Cook,https://www.churchofjesuschrist.org/study/general-conference/2025/10/27cook?lang=por
PT-BR,Conferência Geral Outubro 2025,Jesus Cristo e o recomeço para nós Patrick Kearon,https://www.churchofjesuschrist.org/study/general-conference/2025/10/31kearon?lang=por
PT-BR,Conferência Geral Outubro 2025,Incentivar uns aos outros J. Anette Dennis,https://www.churchofjesuschrist.org/study/general-conference/2025/10/32dennis?lang=por
PT-BR,Conferência Geral Outubro 2025,“Amas-me?” Steven C. Barlow,https://www.churchofjesuschrist.org/study/general-conference/2025/10/33barlow?lang=por
PT-BR,Conferência Geral Outubro 2025,Lembrar-se das ovelhas William K. Jackson,https://www.churchofjesuschrist.org/study/general-conference/2025/10/34jackson?lang=por
PT-BR,Conferência Geral Outubro 2025,O amor expiatório de Jesus Cristo Neil L. Andersen,https://www.churchofjesuschrist.org/study/general-conference/2025/10/35andersen?lang=por
PT-BR,Conferência Geral Outubro 2025,Agora vejo Jeffrey R. Holland,https://www.churchofjesuschrist.org/study/general-conference/2025/10/41holland?lang=por
PT-BR,Conferência Geral Outubro 2025,"“Vai, e faze da mesma maneira” James E. Evanson",https://www.churchofjesuschrist.org/study/general-conference/2025/10/42evanson?lang=por
PT-BR,Conferência Geral Outubro 2025,Revestidos com a virtude da temperança Ulisses Soares,https://www.churchofjesuschrist.org/study/general-conference/2025/10/43soares?lang=por
PT-BR,Conferência Geral Outubro 2025,O poder de ministrar um a um Peter M. Johnson,https://www.churchofjesuschrist.org/study/general-conference/2025/10/44johnson?lang=por
PT-BR,Conferência Geral Outubro 2025,“[Confia] em Deus para que vivas” D. Todd Christofferson,https://www.churchofjesuschrist.org/study/general-conference/2025/10/45christofferson?lang=por
PT-BR,Conferência Geral Outubro 2025,Profetas de Deus Andrea Muñoz Spannaus,https://www.churchofjesuschrist.org/study/general-conference/2025/10/46spannaus?lang=por
PT-BR,Conferência Geral Outubro 2025,Testados e fortalecidos em Cristo Henry B. Eyring,https://www.churchofjesuschrist.org/study/general-conference/2025/10/47eyring?lang=por
PT-BR,Conferência Geral Outubro 2025,“Eles são seus próprios árbitros” David A. Bednar,https://www.churchofjesuschrist.org/study/general-conference/2025/10/51bednar?lang=por
PT-BR,Conferência Geral Outubro 2025,O nome pelo qual sois chamados B. Corey Cuvelier,https://www.churchofjesuschrist.org/study/general-conference/2025/10/52cuvelier?lang=por
PT-BR,Conferência Geral Outubro 2025,Não abandonem a sua própria misericórdia Matthew S. Holland,https://www.churchofjesuschrist.org/study/general-conference/2025/10/53holland?lang=por
PT-BR,Conferência Geral Outubro 2025,Sorrisos radiantes e corações agradecidos Carlos A. Godoy,https://www.churchofjesuschrist.org/study/general-conference/2025/10/54godoy?lang=por
PT-BR,Conferência Geral Outubro 2025,Tomar sobre nós o nome de Jesus Cristo Dale G. Renlund,https://www.churchofjesuschrist.org/study/general-conference/2025/10/55renlund?lang=por
PT-BR,Conferência Geral Outubro 2025,A receita de boas novas John D. Amos,https://www.churchofjesuschrist.org/study/general-conference/2025/10/56amos?lang=por
PT-BR,Conferência Geral Outubro 2025,O Livro de Mórmon — Um tesouro imensurável em nossa jornada Ozani Farias,https://www.churchofjesuschrist.org/study/general-conference/2025/10/57farias?lang=por
PT-BR,Conferência Geral Outubro 2025,O evangelho de Jesus Cristo centralizado na família Dallin H. Oaks,https://www.churchofjesuschrist.org/study/general-conference/2025/10/58oaks?lang=por
PT-BR,Conferência Geral Abril 2025,“Como uma criança” Jeffrey R. Holland,https://www.churchofjesuschrist.org/study/general-conference/2025/04/13holland?lang=por
PT-BR,Conferência Geral Abril 2025,Espiritualmente salvos Nele Camille N. Johnson,https://www.churchofjesuschrist.org/study/general-conference/2025/04/14johnson?lang=por
PT-BR,Conferência Geral Abril 2025,Bem diante de nossos olhos Ronald A. Rasband,https://www.churchofjesuschrist.org/study/general-conference/2025/04/15rasband?lang=por
PT-BR,Conferência Geral Abril 2025,A Expiação de Jesus Cristo proporciona o resgate supremo Quentin L. Cook,https://www.churchofjesuschrist.org/study/general-conference/2025/04/16cook?lang=por
PT-BR,Conferência Geral Abril 2025,Meu amor pelo Salvador é o meu “porquê” Ricardo P. Giménez,https://www.churchofjesuschrist.org/study/general-conference/2025/04/17gimenez?lang=por
PT-BR,Conferência Geral Abril 2025,“Achegai-vos a mim” Henry B. Eyring,https://www.churchofjesuschrist.org/study/general-conference/2025/04/18eyring?lang=por
PT-BR,Conferência Geral Abril 2025,Valorizar a vida Neil L. Andersen,https://www.churchofjesuschrist.org/study/general-conference/2025/04/21andersen?lang=por
PT-BR,Conferência Geral Abril 2025,"Autoridade divina, rapazes valorosos Steven J. Lund",https://www.churchofjesuschrist.org/study/general-conference/2025/04/22lund?lang=por
PT-BR,Conferência Geral Abril 2025,“Volvereis a mim (…) para que eu vos cure” S. Mark Palmer,https://www.churchofjesuschrist.org/study/general-conference/2025/04/23palmer?lang=por
PT-BR,Conferência Geral Abril 2025,Fé: Um vínculo de confiança e lealdade Sandino Roman,https://www.churchofjesuschrist.org/study/general-conference/2025/04/24roman?lang=por
PT-BR,Conferência Geral Abril 2025,Preparação pessoal para se encontrar com o Salvador Dale G. Renlund,https://www.churchofjesuschrist.org/study/general-conference/2025/04/25renlund?lang=por
PT-BR,Conferência Geral Abril 2025,“Sempre fiéis nossa fé guardaremos” Hans T. Boom,https://www.churchofjesuschrist.org/study/general-conference/2025/04/26boom?lang=por
PT-BR,Conferência Geral Abril 2025,“Com isso todos saberão que vocês são meus discípulos” Dieter F. Uchtdorf,https://www.churchofjesuschrist.org/study/general-conference/2025/04/27uchtdorf?lang=por
PT-BR,Conferência Geral Abril 2025,“E falamos de Cristo” Gary E. Stevenson,https://www.churchofjesuschrist.org/study/general-conference/2025/04/31stevenson?lang=por
PT-BR,Conferência Geral Abril 2025,“Tu és o Cristo” Amy A. Wright,https://www.churchofjesuschrist.org/study/general-conference/2025/04/32wright?lang=por
PT-BR,Conferência Geral Abril 2025,O plano de misericórdia James R. Rasband,https://www.churchofjesuschrist.org/study/general-conference/2025/04/33rasband?lang=por
PT-BR,Conferência Geral Abril 2025,Nosso sistema de orientação celestial Sergio R. Vargas,https://www.churchofjesuschrist.org/study/general-conference/2025/04/34vargas?lang=por
PT-BR,Conferência Geral Abril 2025,Adoração D. Todd Christofferson,https://www.churchofjesuschrist.org/study/general-conference/2025/04/35christofferson?lang=por
PT-BR,Conferência Geral Abril 2025,“Os tempos da restauração de todas as coisas” David A. Bednar,https://www.churchofjesuschrist.org/study/general-conference/2025/04/41bednar?lang=por
PT-BR,Conferência Geral Abril 2025,Participar a fim de se preparar para o retorno de Cristo Steven D. Shumway,https://www.churchofjesuschrist.org/study/general-conference/2025/04/42shumway?lang=por
PT-BR,Conferência Geral Abril 2025,"Seu arrependimento não sobrecarrega Jesus Cristo, mas torna a alegria Dele mais radiante Tamara W. Runia",https://www.churchofjesuschrist.org/study/general-conference/2025/04/43runia?lang=por
PT-BR,Conferência Geral Abril 2025,Bênçãos compensatórias Gérald Caussé,https://www.churchofjesuschrist.org/study/general-conference/2025/04/44causse?lang=por
PT-BR,Conferência Geral Abril 2025,"As grandes dádivas da eternidade: A Expiação de Jesus Cristo, a Ressurreição e a Restauração Gerrit W. Gong",https://www.churchofjesuschrist.org/study/general-conference/2025/04/45gong?lang=por
PT-BR,Conferência Geral Abril 2025,Alegria por meio do discipulado por convênio John A. McCune,https://www.churchofjesuschrist.org/study/general-conference/2025/04/46mccune?lang=por
PT-BR,Conferência Geral Abril 2025,Auxílios divinos para a mortalidade Dallin H. Oaks,https://www.churchofjesuschrist.org/study/general-conference/2025/04/47oaks?lang=por
PT-BR,Conferência Geral Abril 2025,Reverência pelas coisas sagradas Ulisses Soares,https://www.churchofjesuschrist.org/study/general-conference/2025/04/51soares?lang=por
PT-BR,Conferência Geral Abril 2025,Caridade — Um sinal do verdadeiro discipulado Michael B. Strong,https://www.churchofjesuschrist.org/study/general-conference/2025/04/52strong?lang=por
PT-BR,Conferência Geral Abril 2025,Cuidado com a segunda tentação Scott D. Whiting,https://www.churchofjesuschrist.org/study/general-conference/2025/04/53whiting?lang=por
PT-BR,Conferência Geral Abril 2025,Não endureçais o vosso coração Christopher H. Kim,https://www.churchofjesuschrist.org/study/general-conference/2025/04/54kim?lang=por
PT-BR,Conferência Geral Abril 2025,Receber a dádiva do Senhor Patrick Kearon,https://www.churchofjesuschrist.org/study/general-conference/2025/04/55kearon?lang=por
PT-BR,Conferência Geral Abril 2025,O amor de Deus Benjamin M. Z. Tai,https://www.churchofjesuschrist.org/study/general-conference/2025/04/56tai?lang=por
PT-BR,Conferência Geral Abril 2025,Confiança na presença de Deus Russell M. Nelson,https://www.churchofjesuschrist.org/study/general-conference/2025/04/57nelson?lang=por
PT-BR,Conferência Geral Outubro 2024,O triunfo da esperança Neil L. Andersen,https://www.churchofjesuschrist.org/study/general-conference/2024/10/12andersen?lang=por
PT-BR,Conferência Geral Outubro 2024,Viver à altura de seus privilégios Emily Belle Freeman,https://www.churchofjesuschrist.org/study/general-conference/2024/10/13freeman?lang=por
PT-BR,Conferência Geral Outubro 2024,Os favoritos de Deus Karl D. Hirst,https://www.churchofjesuschrist.org/study/general-conference/2024/10/14hirst?lang=por
PT-BR,Conferência Geral Outubro 2024,“Este é o meu evangelho” — “Esta é a minha igreja” Dale G. Renlund,https://www.churchofjesuschrist.org/study/general-conference/2024/10/15renlund?lang=por
PT-BR,Conferência Geral Outubro 2024,Confiar no Pai David P. Homer,https://www.churchofjesuschrist.org/study/general-conference/2024/10/16homer?lang=por
PT-BR,Conferência Geral Outubro 2024,Deus ama todos os Seus filhos Gregorio E. Casillas,https://www.churchofjesuschrist.org/study/general-conference/2024/10/17casillas?lang=por
PT-BR,Conferência Geral Outubro 2024,Seguir a Cristo Dallin H. Oaks,https://www.churchofjesuschrist.org/study/general-conference/2024/10/18oaks?lang=por
PT-BR,Conferência Geral Outubro 2024,Enterrar nossas armas de rebelião D. Todd Christofferson,https://www.churchofjesuschrist.org/study/general-conference/2024/10/21christofferson?lang=por
PT-BR,Conferência Geral Outubro 2024,Ligados a Jesus Cristo: Tornar-se o sal da Terra José A. Teixeira,https://www.churchofjesuschrist.org/study/general-conference/2024/10/22teixeira?lang=por
PT-BR,Conferência Geral Outubro 2024,A mão do Senhor está pronta para nos ajudar Juan Pablo Villar,https://www.churchofjesuschrist.org/study/general-conference/2024/10/23villar?lang=por
PT-BR,Conferência Geral Outubro 2024,Bem-vindos à Igreja da alegria Patrick Kearon,https://www.churchofjesuschrist.org/study/general-conference/2024/10/24kearon?lang=por
PT-BR,Conferência Geral Outubro 2024,“Sois meus amigos” David L. Buckner,https://www.churchofjesuschrist.org/study/general-conference/2024/10/25buckner?lang=por
PT-BR,Conferência Geral Outubro 2024,“Sê limpo” D. Martin Goury,https://www.churchofjesuschrist.org/study/general-conference/2024/10/26goury?lang=por
PT-BR,Conferência Geral Outubro 2024,O vento não deixou de soprar Aroldo B. Cavalcante,https://www.churchofjesuschrist.org/study/general-conference/2024/10/27cavalcante?lang=por
PT-BR,Conferência Geral Outubro 2024,Alinhar nossos desejos aos Dele Ulisses Soares,https://www.churchofjesuschrist.org/study/general-conference/2024/10/28soares?lang=por
PT-BR,Conferência Geral Outubro 2024,Santidade ao Senhor na vida diária Gerrit W. Gong,https://www.churchofjesuschrist.org/study/general-conference/2024/10/31gong?lang=por
PT-BR,Conferência Geral Outubro 2024,A alegria de nossa redenção Kristin M. Yee,https://www.churchofjesuschrist.org/study/general-conference/2024/10/32yee?lang=por
PT-BR,Conferência Geral Outubro 2024,"Hoje, ao profeta louvemos Kyle S. McKay",https://www.churchofjesuschrist.org/study/general-conference/2024/10/33mckay?lang=por
PT-BR,Conferência Geral Outubro 2024,Abraçar o dom do arrependimento dado pelo Senhor Jorge M. Alvarado,https://www.churchofjesuschrist.org/study/general-conference/2024/10/34alvarado?lang=por
PT-BR,Conferência Geral Outubro 2024,No espaço de não muitos anos David A. Bednar,https://www.churchofjesuschrist.org/study/general-conference/2024/10/35bednar?lang=por
PT-BR,Conferência Geral Outubro 2024,“Sou eu” Jeffrey R. Holland,https://www.churchofjesuschrist.org/study/general-conference/2024/10/41holland?lang=por
PT-BR,Conferência Geral Outubro 2024,Buscar respostas para dúvidas espirituais Tracy Y. Browning,https://www.churchofjesuschrist.org/study/general-conference/2024/10/42browning?lang=por
PT-BR,Conferência Geral Outubro 2024,A mortalidade vale a pena! Brook P. Hales,https://www.churchofjesuschrist.org/study/general-conference/2024/10/43hales?lang=por
PT-BR,Conferência Geral Outubro 2024,Buscar ao Senhor de todo o coração L. Todd Budge,https://www.churchofjesuschrist.org/study/general-conference/2024/10/45budge?lang=por
PT-BR,Conferência Geral Outubro 2024,Dias inesquecíveis Gary E. Stevenson,https://www.churchofjesuschrist.org/study/general-conference/2024/10/44stevenson?lang=por
PT-BR,Conferência Geral Outubro 2024,Ó jovens de nobre estirpe Bradley R. Wilcox,https://www.churchofjesuschrist.org/study/general-conference/2024/10/46wilcox?lang=por
PT-BR,Conferência Geral Outubro 2024,A doutrina de Jesus Cristo é simples Henry B. Eyring,https://www.churchofjesuschrist.org/study/general-conference/2024/10/47eyring?lang=por
PT-BR,Conferência Geral Outubro 2024,"Nutram as raízes, e os ramos crescerão Dieter F. Uchtdorf",https://www.churchofjesuschrist.org/study/general-conference/2024/10/51uchtdorf?lang=por
PT-BR,Conferência Geral Outubro 2024,As palavras de Cristo e o Espírito Santo nos levarão à verdade Takashi Wada,https://www.churchofjesuschrist.org/study/general-conference/2024/10/52wada?lang=por
PT-BR,Conferência Geral Outubro 2024,“Eis que eu sou a luz que levantareis” Ronald A. Rasband,https://www.churchofjesuschrist.org/study/general-conference/2024/10/53rasband?lang=por
PT-BR,Conferência Geral Outubro 2024,Escrituras sagradas — O alicerce da fé Quentin L. Cook,https://www.churchofjesuschrist.org/study/general-conference/2024/10/54cook?lang=por
PT-BR,Conferência Geral Outubro 2024,Filhos e filhas de Deus Rubén V. Alliaud,https://www.churchofjesuschrist.org/study/general-conference/2024/10/55alliaud?lang=por
PT-BR,Conferência Geral Outubro 2024,Concentrar-se em Jesus Cristo e em Seu evangelho I. Raymond Egbo,https://www.churchofjesuschrist.org/study/general-conference/2024/10/56egbo?lang=por
PT-BR,Conferência Geral Outubro 2024,O Senhor Jesus Cristo voltará Russell M. Nelson,https://www.churchofjesuschrist.org/study/general-conference/2024/10/57nelson?lang=por
PT-BR,Conferência Geral Abril 2024,O movimento de uma chama oculta Jeffrey R. Holland,https://www.churchofjesuschrist.org/study/general-conference/2024/04/13holland?lang=por
PT-BR,Conferência Geral Abril 2024,“Revesti-vos do Senhor Jesus Cristo” J. Anette Dennis,https://www.churchofjesuschrist.org/study/general-conference/2024/04/14dennis?lang=por
PT-BR,Conferência Geral Abril 2024,Pilares e raios Alexander Dushku,https://www.churchofjesuschrist.org/study/general-conference/2024/04/15dushku?lang=por
PT-BR,Conferência Geral Abril 2024,Confiança nos convênios por meio de Jesus Cristo Ulisses Soares,https://www.churchofjesuschrist.org/study/general-conference/2024/04/16soares?lang=por
PT-BR,Conferência Geral Abril 2024,Integridade: Um atributo cristão Jack N. Gerard,https://www.churchofjesuschrist.org/study/general-conference/2024/04/17gerard?lang=por
PT-BR,Conferência Geral Abril 2024,Tudo ficará bem por causa dos convênios do templo Henry B. Eyring,https://www.churchofjesuschrist.org/study/general-conference/2024/04/18eyring?lang=por
PT-BR,Conferência Geral Abril 2024,"“Aquietai-vos, e sabei que eu sou Deus” David A. Bednar",https://www.churchofjesuschrist.org/study/general-conference/2024/04/21bednar?lang=por
PT-BR,Conferência Geral Abril 2024,Levanta-te! Que Ele te chama Massimo De Feo,https://www.churchofjesuschrist.org/study/general-conference/2024/04/22de-feo?lang=por
PT-BR,Conferência Geral Abril 2024,Um registro do que vi e ouvi Brent H. Nielson,https://www.churchofjesuschrist.org/study/general-conference/2024/04/23nielson?lang=por
PT-BR,Conferência Geral Abril 2024,Jesus Cristo no centro de nossa vida Jose L. Alonso,https://www.churchofjesuschrist.org/study/general-conference/2024/04/24alonso?lang=por
PT-BR,Conferência Geral Abril 2024,Todas as coisas para o nosso bem Gerrit W. Gong,https://www.churchofjesuschrist.org/study/general-conference/2024/04/25gong?lang=por
